Altium Designer Pick and Place Locations
C:\Users\Victor Holanda\Documents\28Pins_Project_V1]1\BOM\Pick Place\Pick Place for 28Pins_Project_V1[1_PCB.(5V_3V3).txt

========================================================================================================================
File Design Information:

Date:       21/05/21
Time:       14:47
Revision:   5e75555ec9e27382c7edb27a4149d9886631ded5
Variant:    5V/3V3
Units used: mm

Designator    Comment                 Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                               
C15           100n                    TopLayer C0805                            30.7340      5.2730       90       "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C21           "10uF / 16V"            TopLayer C0805                            25.4000      48.0060      0        "CERAMIC CAPACITOR, 10UF, 16V, X5R, 20%, 0805, FULL REEL; Product Range:C Series; Capacitance:10 F; Capacitance Tolerance: 20%; Dielectric Characteristic:X5R; Voltage Rating:16V; Ceramic Capacitor Case:0805 [2012 Metric]; MSL:- ;RoHS Compliant: Yes" 
C23           100n                    TopLayer C0805                            41.5036      9.7028       180      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C24           100n                    TopLayer C0805                            45.5422      9.7282       0        "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C26           100n                    TopLayer C0805                            22.3774      43.5102      270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C28           100n                    TopLayer C0805                            66.8274      12.5476      0        "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C30           100n                    TopLayer C0805                            6.6802       29.2100      0        "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C31           100n                    TopLayer C0805                            10.3226      23.4442      0        "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
C32           100n                    TopLayer C0805                            65.5066      19.6088      270      "TDK - C2012X7R1H104K085AA - SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 10%, X7R, C Series"                                                                                                                                    
FID1          FID_1MMC                TopLayer FID_40X120D                      22.3266      5.0546       0        "Fiducal 40mil Diameter, 120mil Mask"                                                                                                                                                                                                                     
FID2          FID_1MMC                TopLayer FID_40X120D                      67.3862      2.0066       90       "Fiducal 40mil Diameter, 120mil Mask"                                                                                                                                                                                                                     
